0,	0,	0
0,	0,	0
0,	0,	0
3,	3,	3.2
10,	10,	9.6
15,	15,	16
17,	16,	19.47368421
40,	29.96428571,	22.73684211
60,	32.96875,	40.52631579
70,	35.97321429,	57.26315789
150,	52,	76.42105263
204.7944236,	58,	74.31578947
227.1474116,	61.5133311605464,	73.42105263
244.3718848,	73.5584518091875,	101.0526316
251.5253034,	87.9621657692794,	73.26315789
375.3335768,	117.894736842105,	65.76315789
260.9707193,	86.25,	44.75
372.307300094737,	126.578947368421,	61.40789474
372.593051710526,	129.934210526316,	59.21052632
371.710382273684,	132.631578947368,	67.36842105
369.659291784211,	134.671052631579,	74.64912281
366.439780242105,	136.052631578947,	81.05263158
373.225793131579,	136.776315789474,	86.57894737
391.673936631579,	136.842105263158,	91.22807018
403.5843163,	136.25,	95
437.0925658,	142.5,	103.3333333
471.6468917,	148.75,	111.6666667
514.6231816,	155,	120
558.7814728,	161.25,	130.6583097
604.1962142,	167.5,	142.2632825
650.9465436,	173.75,	154.8990002
699.1165837,	180,	168.6570128
748.7957553,	217.215900236207,	183.6370018
800.0791116,	262.126373974588,	199.9475022
853.0676928,	316.322312769683,	217.7066889
907.8689031,	381.723532961477,	237.0432332
964.5969115,	460.646782519848,	258.0972348
1023.373078,	555.887808644229,	281.021237
1084.326407,	670.820393249937,	305.9813318
1147.594027,	809.51586453662,	333.1583635
1213.321706,	976.887318171187,	362.7492387
1281.664389,	1178.8636569216,	394.9683532
1352.786786,	1422.59961385541,	430.0491451
1426.863976,	1716.72919888491,	468.2457866
1504.082069,	2071.67154665315,	509.8350251
1584.638895,	2500,	555.1181884
1668.744746,	2510,	604.4233683
1756.623158,	2520,	658.1077971
1848.511748,	2530,	716.5604365
1944.663097,	2540,	780.2047953
2045.345697,	2550,	849.5019982
2150.844951,	2560,	924.9541265
2261.464238,	2570,	1007.107856
2377.526043,	2580,	1096.558418
2499.373167,	2590,	1193.953912
2627.37,	2600,	1300
2646.45766666667,	2610,	1343.333333
2665.54533333333,	2620,	1386.666667
2684.633,	2630,	1430
2703.72066666667,	2640,	1473.333333
2722.80833333333,	2650,	1516.666667
2741.896,	2660,	1560
2760.98366666667,	2670,	1603.333333
2780.07133333333,	2680,	1646.666667
2799.159,	2690,	1690
2818.24666666667,	2700,	1733.333333
2837.33433333333,	2710,	1776.666667
2856.422,	2720,	1820
2875.50966666667,	2730,	1863.333333
2894.59733333333,	2740,	1906.666667
2913.685,	2750,	1950
2932.77266666667,	2760,	1993.333333
2951.86033333333,	2770,	2036.666667
2970.948,	2780,	2080
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333
2990.03566666667,	2790,	2123.333333