//Year;BAU;550;450;450alt;450alt2;550alt1;550alt2;450alt3;450alt4;450alt5;550alt3 – no 2050 constraint;450alt6 – no 2050 constraint
2001;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202;23.699202
2002;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604;24.659604
2003;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183;25.690183
2004;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545;26.743545
2005;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949;27.857949
2006;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737;29.012737
2007;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596;30.195596
2008;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938;31.388938
2009;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086;32.65086
2010;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229;34.017229
2011;35.328022;34.5308891579;34.5308891579;34.017229;34.527487435;34.274059079;34.7877192369;34.017229;34.017229;34.017229;34.017229;34.017229
2012;36.545775;35.0445493158;35.0445493158;33.7886332211;34.867659725;34.5289789352;35.5639401419;33.7886332211;33.9029311106;33.6743353317;35.03774587;35.03774587
2013;37.557906;35.5616111966;35.5616111966;33.5600374422;35.03774587;34.7837064055;36.3510279261;33.5600374422;33.788246582;33.3326015807;35.9136895167;35.9136895167
2014;38.440661;36.0752713545;36.0752713545;33.3314416634;35.03774587;35.0349183658;37.1386219403;33.3314416634;33.6731714639;32.9920316976;36.6319633071;36.6319633071
2015;39.25818;36.5889315124;36.0752713545;33.1028458845;34.69757358;35.2843418771;37.9318230596;33.1028458845;33.5577017381;32.6526296732;37.1814427567;37.1814427567
2016;39.984232;36.39843503;35.8466755756;32.8742501056;34.017229;35.0087854697;37.773832573;32.8742501056;33.2100964751;32.4722402689;37.5532571843;37.5532571843
2017;40.649078;36.2079385476;35.6180797967;32.1353958917;33.234832733;34.7339501445;37.6156767133;32.1353958917;32.0904928502;31.8883850879;37.7410234701;37.7410234701
2018;41.253689;36.0174420652;35.3894840179;31.4006237453;32.452436466;34.4598377984;37.4573544363;31.4006237453;30.9898746849;31.3050856698;37.7410234701;37.7410234701
2019;41.813333;35.8269455828;35.160888239;30.6617695314;31.670040199;34.1864503432;37.2988646857;30.6617695314;29.8960907039;30.7158007014;37.7410234701;37.7410234701
2020;42.323234;35.6364491004;34.9322924601;29.9229153176;30.887643932;33.9137897062;37.1402063931;29.9229153176;28.8154851355;30.1236757425;37.7032824467;37.6278003997
2021;42.801928;35.0207372555;34.1934382462;29.1881431712;30.105247665;33.0348670349;36.6268518794;29.1881431712;27.7541171686;29.5319142073;37.6278758818;37.4020335973
2022;43.278794;34.4084271335;33.4586660998;28.2696779882;29.322851398;32.1684839266;36.1145384582;28.2696779882;26.4441062771;28.7884880886;37.5149922542;37.065415295
2023;43.774518;33.7927152886;32.7198118859;27.3512128052;28.540455131;31.3050392024;35.597545362;27.3512128052;25.1553761266;28.0402312746;37.3649322851;36.6206303114
2024;44.300711;33.1770034437;31.9809576721;26.4327476222;27.758058864;30.449460569;35.0786683166;26.4327476222;23.8882840253;27.2869491051;37.1781076238;36.0713208567
2025;44.869747;32.5646933217;31.2461855257;25.5142824392;26.975662597;29.6065041091;34.5607427309;25.5142824392;22.6432059045;26.5284320395;36.955038978;35.4220370813
2026;45.48079;31.8537332356;29.9848266743;24.5958172562;26.19326633;28.6369398097;33.9571120838;24.5958172562;21.4205379946;25.7644539423;36.6963537051;34.6781743026
2027;46.099876;31.1461748724;28.7275498905;23.6773520732;25.410870063;27.6827829087;33.3536879648;23.6773520732;20.2206987205;24.9947701002;36.4027828755;33.8458981194
2028;46.721021;30.4352147863;27.4661910392;22.7588868902;24.628473796;26.7349287757;32.7446079486;22.7588868902;19.0441308534;24.2191149164;36.0751578297;32.9320588701
2029;47.295907;29.7276564231;26.2089142553;21.8404217072;23.846077529;25.802627694;32.1356102105;21.8404217072;17.8913039678;23.437199213;35.7144062513;31.944097104
2030;47.879778;29.0200980599;24.9516374715;20.9219565242;23.063681262;24.8814216246;31.5237134788;20.9219565242;16.7627172587;22.6487070583;35.3215477825;30.8899418996
2031;48.446288;28.2921293593;23.6698682828;20.0034913412;22.281284995;24.4445165772;30.8120188104;20.0034913412;16.2476038414;21.7538651269;34.8623676613;29.7779039912
2032;49.074842;27.5641606587;22.3880990941;19.0850261582;21.498888728;24.0042390032;30.0984929209;19.0850261582;15.7253949566;20.8549145069;34.3394321464;28.6165657356
2033;49.725403;26.8361919581;21.1063299053;18.1665609752;20.716492461;23.5604731137;29.3830826115;18.1665609752;15.195646695;19.951637695;33.7556617999;27.4146699747
2034;50.349097;26.1082232575;19.8245607166;17.2480957922;19.934096194;23.1130958957;28.6657316531;17.2480957922;14.657863528;19.0437940953;33.0805485639;26.1810098258
2035;50.915432;25.3836562798;18.5468735954;16.3296306092;19.151699927;22.6640844823;27.9497419778;16.3296306092;14.1114892366;18.1311162069;32.3527764955;25.1810098258
2036;51.404825;24.7135168685;17.3344995538;15.4111654262;18.36930366;22.2452453976;27.2118568037;15.4111654262;13.5558956474;17.1113259028;31.5763098596;24.1810098258
2037;51.814193;24.0433774572;16.1221255123;14.4927002432;17.586907393;21.8229991016;26.4739716295;14.4927002432;12.9903684804;16.0915355987;30.7553258033;23.1810098258
2038;52.130198;23.3732380459;14.9097514707;13.5742350602;16.804511126;21.3972221384;25.7360864553;13.5742350602;12.4140893416;15.0717452946;29.8941766808;22.1810098258
2039;52.281982;22.7030986346;13.6973774291;12.6557698772;16.022114859;20.9677829108;24.9982012812;12.6557698772;11.8261124758;14.0519549905;28.9973513804;21.1810098258
2040;52.216748;22.0329592233;12.4850033876;11.7373046942;15.239718592;20.5345408875;24.260316107;11.7373046942;11.2253342643;13.0321646864;28.0694361362;20.1810098258
2041;52.311259;21.4036404868;11.3216141558;10.8188395112;14.457322325;20.1239768849;23.463437575;10.8188395112;10.6104524605;11.8594058366;27.1150753076;19.1810098258
2042;52.085704;20.7743217503;10.158224924;9.9003743282;13.674926058;19.7097914102;22.6700735661;9.9003743282;9.9799105428;10.7015811881;26.1389325965;18.1810098258
2043;51.843445;20.1450030138;8.9948356922;8.9819091452;12.892529791;19.2918418462;21.8803145762;8.9819091452;9.3318198705;9.5598683792;25.1456531578;17.1810098258
2044;51.606482;19.5156842773;7.8314464604;8.1552904805;12.110133524;18.8699753282;21.0942563313;8.1552904805;8.7306448364;8.5480878844;24.1146813784;16.1810098258
2045;51.46519;18.8863655408;6.6680572286;7.4113336822;11.327737257;18.4440276544;20.3120002682;7.4113336822;8.1731348598;7.6513302122;23.1259794418;15.1810098258
2046;51.556634;18.3080726478;5.5428084325;6.7417725638;10.54534099;18.0487035746;19.503471439;6.7417725638;7.6562657662;6.7527141919;22.1778142847;14.1810098258
2047;51.805626;17.7297797548;4.4901303238;6.1391675573;9.762944723;17.6496333915;18.7026042543;6.1391675573;7.1772236705;5.9680562783;21.2685238991;13.1810098258
2048;52.124795;17.1514868618;3.5376277819;5.5968230513;8.980548456;17.2466582623;17.9095736442;5.5968230513;6.7333899663;5.2826595605;20.3965144192;12.1810098258
2049;52.503563;16.5731939688;2.7040229709;5.108712996;8.198152189;16.839607026;17.1245645654;5.108712996;6.3223273468;4.6837349573;19.560257328;11.1810098258
2050;52.805341;15.9949010758;1.9983917327;4.6694139462;7.415755922;16.4282947854;16.3477729461;4.6694139462;5.9417667871;4.1601533012;18.7582867776;10.1810098258
2051;53.152944;15.453904035;1.4206697376;4.2740448014;6.667376884;16.0393357556;15.5460211703;4.2740448014;5.5895954234;3.6493922947;17.9891970197;9.1810098258
2052;53.681401;14.9477975245;0.9631777174;3.9182125711;5.953015075;15.6716404106;14.807792394;3.9182125711;5.2638452713;3.2088427411;17.2516399419;8.1810098258
2053;53.785639;14.4743313487;0.6127716146;3.5979635638;5.272670495;15.3241648612;14.1276966276;3.5979635638;4.9626827298;2.8285515774;16.5443227043;7.1810098258
2054;53.937562;14.031400434;0.353184389;3.3097394572;4.626343144;14.9959091141;13.5008275526;3.3097394572;4.684398823;2.4999984199;15.8660054734;6.1810098258
2055;54.135711;13.6437591154;0.167182014;3.0503377613;4.014033022;14.7059078553;12.96000171;3.0503377613;4.4274001346;2.215888276;15.215499249;5.1810098258
2056;54.346561;13.2561177967;0.0382748127;2.816876235;3.435740129;14.4134347747;12.4260904499;2.816876235;4.1902003975;1.9699742775;14.5916637798;4.2200098258
2057;54.613923;12.8934766354;-0.0481342684;2.6067608613;2.891464465;14.1374238518;11.9331854144;2.6067608613;3.9714127;1.756906085;13.9934055648;3.2980098258
2058;54.95596;12.554223296;-0.1041571071;2.417657025;2.38120603;13.8770349845;11.4779055067;2.417657025;3.7697422776;1.5721002425;13.4196759366;2.4150098258
2059;55.183036;12.2368494272;-0.1392884178;2.2474635723;1.904964824;13.6314645718;11.0571672877;2.2474635723;3.5839798584;1.4116293031;12.8694692232;1.5710098258
2060;55.408494;11.9399439562;-0.1605966349;2.0942894649;1.462740847;13.3999442361;10.6681575554;2.0942894649;3.4129955337;1.2721270043;12.3418209851;0.7660098258
2061;55.589237;11.6621868141;-0.1730970199;1.9564327682;1.054534099;13.1817395979;10.3083084975;1.9564327682;3.2557331263;1.1507071706;11.8358063247;9.82580149655465E-006
2062;55.748871;11.4023430675;-0.1801899092;1.8323617412;0.68034458;12.9761490976;9.975275179;1.8323617412;3.1112050284;1.0448943551;11.3505382654;-0.7269901742
2063;55.81265;11.1592574276;-0.1840825693;1.7206978169;0.34017229;12.7825028582;9.6669151431;1.7206978169;2.9784874822;0.9525645207;10.8851661965;-1.4149901742
2064;55.786741;10.9318491135;-0.1861488691;1.620200285;0.034017229;12.6001615859;9.3812699297;1.620200285;2.8567162761;0.8718943098;10.4388743824;-2.0639901742
2065;55.683878;10.7191070471;-0.1872097427;1.5297525064;-0.238120603;12.4285155022;9.1165483298;1.5297525064;2.7450828252;0.8013176587;10.0108805328;-2.6739901742
2066;55.626012;10.5200853581;-0.187736557;1.4483495055;-0.476241206;12.2669833059;8.871111213;1.4483495055;2.6428306079;0.7394886965;9.6004344309;-3.2449901742
2067;55.61487;10.3338991778;-0.1879895887;1.3750868048;-0.68034458;12.1150111611;8.6434577796;1.3750868048;2.5492519275;0.6852500191;9.2068166193;-3.7769901742
2068;55.631065;10.1597207057;-0.1881071369;1.3091503741;-0.850430725;11.9720717082;8.4322131028;1.3091503741;2.4636849649;0.6376055625;8.8293371379;-4.2699901742
2069;55.673622;9.9967755283;-0.1881599546;1.2498075865;-0.986499641;11.8376630977;8.2361168395;1.2498075865;2.3855110932;0.5956974107;8.4673343152;-4.7239901742
2070;55.751129;9.8443391767;-0.1881829092;1.1963990777;-1.088551328;11.7113080427;8.0540129983;1.1963990777;2.3141524183;0.5587859688;8.1201736083;-5.1389901742
2071;55.851494;9.7017339051;-0.1881925581;1.1483314197;-1.156585786;11.4398676975;7.9373424234;1.1483314197;2.1653915054;0.5363356566;7.7872464903;-5.5149901742
2072;55.928556;9.5683256773;-0.1881964811;1.1050705276;-1.190603015;11.188172899;7.8281962856;1.1050705276;2.0348692303;0.5161303756;7.4679693842;-5.8519901742
2073;55.974853;9.4435213484;-0.1881980237;1.0661357246;-1.190603015;10.9546804435;7.7260893113;1.0661357246;1.9201583871;0.4979456227;7.1617826395;-6.1499901742
2074;56.055149;9.3267660269;-0.1881986105;1.031094402;-1.190603015;10.737978696;7.6305675236;1.031094402;1.8191807903;0.4815793451;6.8681495513;-6.4089901742
2075;56.084108;9.2175406081;-0.1881988263;0.9995572116;-1.190603015;10.5367753693;7.541206224;0.9995572116;1.7301540617;0.4668496953;6.5865554197;-6.6289901742
2076;56.078137;9.1153594659;-0.1881989031;0.9711737403;-1.190603015;10.3498865167;7.457608104;0.9711737403;1.6515468102;0.4535930104;6.3165066475;-6.8099901742
2077;56.08202;9.0197682936;-0.1881989296;0.9456286161;-1.190603015;10.176226612;7.3794014788;0.9456286161;1.5820408643;0.4416619941;6.0575298749;-6.9519901742
2078;56.183053;8.9303420842;-0.1881989384;0.9226380043;-1.190603015;10.0147996056;7.3062386347;0.9226380043;1.5204994317;0.4309240793;5.80917115;-7.0549901742
2079;56.376794;8.8466832407;-0.1881989412;0.9019464537;-1.190603015;9.8646908558;7.237794283;0.9019464537;1.465940238;0.4212599561;5.5709951329;-7.1189901742
2080;56.631254;8.7684198082;-0.1881989421;0.8833240581;-1.190603015;9.7250598469;7.1737641138;0.8833240581;1.4175128506;0.4125622451;5.3425843324;-7.1439901742
2081;56.935882;8.6952038205;-0.1881989424;0.8665639021;-1.190603015;9.595133611;7.1138634434;0.8665639021;1.3744795176;0.4047343053;5.1235383748;-7.1439901742
2082;57.275647;8.6267097525;-0.1881989424;0.8514797617;-1.190603015;9.4742007847;7.0578259477;0.8514797617;1.3361989624;0.3976891594;4.9134733014;-7.1439901742
2083;57.646591;8.5626330735;-0.1881989425;0.8379040354;-1.190603015;9.3616062331;7.0054024792;0.8379040354;1.3021126627;0.3913485282;4.7120208961;-7.1439901742
2084;57.924493;8.5026888928;-0.1881989425;0.8256858816;-1.190603015;9.2567461862;6.9563599581;0.8256858816;1.2717332169;0.38564196;4.5188280393;-7.1439901742
2085;58.240582;8.4466106929;-0.1881989425;0.8146895433;-1.190603015;9.1590638329;6.9104803371;0.8146895433;1.2446344684;0.3805060487;4.3335560897;-7.1439901742
2086;58.428294;8.3941491453;-0.1881989425;0.8047928388;-1.190603015;9.0680453298;6.8675596312;0.8047928388;1.2204431093;0.3758837285;4.1558802901;-7.1439901742
2087;58.674688;8.345071001;-0.1881989425;0.7958858047;-1.190603015;8.9832161795;6.827407011;0.7958858047;1.1988315287;0.3717236403;3.9854891982;-7.1439901742
2088;58.94456;8.2991580542;-0.1881989425;0.7878694741;-1.190603015;8.9041379449;6.7898439544;0.7878694741;1.1795117119;0.367979561;3.822084141;-7.1439901742
2089;59.227512;8.2562061718;-0.1881989425;0.7806547765;-1.190603015;8.8304052634;6.7547034525;0.7806547765;1.1622300264;0.3646098895;3.6653786913;-7.1439901742
2090;59.493468;8.2160243858;-0.1881989425;0.7741615486;-1.190603015;8.7616431327;6.7218292675;0.7741615486;1.1467627554;0.3615771853;3.5150981649;-7.1439901742
2091;59.770724;8.1784340443;-0.1881989425;0.7683176436;-1.190603015;8.6975044414;6.6910752379;0.7683176436;1.1329122661;0.3588477514;3.3709791402;-7.1439901742
2092;60.023166;8.1432680172;-0.1881989425;0.763058129;-1.190603015;8.6376677197;6.6623046283;0.763058129;1.1205037138;0.3563912609;3.2327689954;-7.1439901742
2093;60.2735;8.1103699533;-0.1881989425;0.758324566;-1.190603015;8.5818350895;6.6353895221;0.758324566;1.109382202;0.3541804195;3.1002254666;-7.1439901742
2094;60.47489;8.0795935847;-0.1881989425;0.7540643592;-1.190603015;8.5297303946;6.6102102522;0.7540643592;1.0994103291;0.3521906622;2.9731162225;-7.1439901742
2095;60.656294;8.0508020769;-0.1881989425;0.7502301731;-1.190603015;8.4810974931;6.5866548694;0.7502301731;1.090466066;0.3503998807;2.8512184573;-7.1439901742
2096;60.784033;8.0238674202;-0.1881989425;0.7467794056;-1.190603015;8.4356986974;6.5646186442;0.7467794056;1.0824409132;0.3487881773;2.7343185006;-7.1439901742
2097;60.964465;7.9986698608;-0.1881989425;0.7436737148;-1.190603015;8.3933133472;6.5440036016;0.7436737148;1.0752383006;0.3473376442;2.6222114421;-7.1439901742
2098;61.053202;7.9750973679;-0.1881989425;0.7408785932;-1.190603015;8.353736503;6.5247180853;0.7408785932;1.068772192;0.3460321645;2.5147007729;-7.1439901742
2099;61.241759;7.9530451362;-0.1881989425;0.7383629837;-1.190603015;8.3167777501;6.5066763501;0.7383629837;1.0629658674;0.3448572327;2.4115980413;-7.1439901742
2100;61.334402;7.9324151194;-0.1881989425;0.7360989351;-1.190603015;8.2822601007;6.4897981807;0.7360989351;1.0577508577;0.3437997941;2.3127225216;-7.1439901742
